"Country","Region","happiness_rank","happiness_score","Lower.Confidence.Interval","Upper.Confidence.Interval","Economy","Family","Health","Freedom","Trust","Generosity","Dystopia.Resi"
"Ivory Coast","Sub-Saharan Africa",139,3.916,3.826,4.006,0.141744127,0.147027579,0.011430031,0.1038381,0.039657814,0.051935649,0.504284985
"Cambodia","Southeastern Asia",140,3.907,3.798,4.016,0.142318915,0.137573586,0.108763757,0.150632199,0.020711543,0.103248016,0.336762222
"Angola","Sub-Saharan Africa",141,3.866,3.753,3.979,0.219169684,0.171665804,0.012909984,0.001523539,0.02181583,0.031223487,0.541797724
"Niger","Sub-Saharan Africa",142,3.856,3.781,3.931,0.0344139,0.156976141,0.06784751,0.098654046,0.044543568,0.05438278,0.543228734
"South Sudan","Sub-Saharan Africa",143,3.832,3.596,4.068,0.102802714,0.048327244,0.04118215,0.051310021,0.033963987,0.067586117,0.654825157
"Chad","Sub-Saharan Africa",144,3.763,3.672,3.854,0.11218177,0.167892639,0.010162105,0.034034015,0.013159713,0.049606697,0.612907255
"Burkina Faso","Sub-Saharan Africa",145,3.739,3.647,3.831,0.085571008,0.168638673,0.05695908,0.089248462,0.033519658,0.065132388,0.500986895
"Uganda","Sub-Saharan Africa",145,3.739,3.629,3.849,0.092856379,0.243329767,0.052487296,0.116750468,0.017229206,0.072484622,0.404963894
"Yemen","Middle East and Northern Africa",147,3.724,3.621,3.827,0.155582707,0.127532223,0.083372718,0.06141246,0.015821697,0.02637218,0.529793233
"Madagascar","Sub-Saharan Africa",148,3.695,3.621,3.769,0.075653586,0.124803789,0.100430311,0.037033829,0.020313938,0.059648173,0.582070365
"Tanzania","Sub-Saharan Africa",149,3.666,3.561,3.771,0.128627932,0.211737589,0.097381342,0.086633933,0.013908893,0.085848336,0.375801964
"Liberia","Sub-Saharan Africa",150,3.622,3.463,3.781,0.029558255,0.139019879,0.063956378,0.071087797,0.013395914,0.066435671,0.616466041
"Guinea","Sub-Saharan Africa",151,3.607,3.533,3.681,0.062143055,0.086193513,0.052201275,0.085813696,0.033046853,0.082933185,0.597737732
"Rwanda","Sub-Saharan Africa",152,3.515,3.444,3.586,0.093445235,0.175209104,0.090654339,0.154537696,0.14372973,0.067004267,0.275445235
"Benin","Sub-Saharan Africa",153,3.484,3.404,3.564,0.11337256,0.029905281,0.060355913,0.114084386,0.019176234,0.057921929,0.605086108
"Afghanistan","Southern Asia",154,3.36,3.288,3.432,0.113770833,0.032848214,0.051619048,0.04889881,0.021166667,0.093059524,0.638565476
"Togo","Sub-Saharan Africa",155,3.303,3.192,3.414,0.085143809,0,0.075116561,0.104989404,0.03508023,0.053033606,0.646503179
"Syria","Middle East and Northern Africa",156,3.069,2.936,3.202,0.243463669,0.048439231,0.205259042,0.022521994,0.056151841,0.157696318,0.266500489
"Burundi","Sub-Saharan Africa",157,2.905,2.732,3.078,0.02351463,0.080695353,0.05420654,0.014870912,0.032423408,0.069845095,0.724282272
